Distance [m] 	Depth [m]
62931.893763481734	-847.5800170898438
63237.388393401554	-944.4600219726562
63542.88302332137	-1018.8200073242188
63848.37765324118	-1076.4599609375
64153.87228316099	-1187.9200439453125
64459.36691308081	-1289.4000244140625
64764.861543000625	-1337.6600341796875
65070.35617292044	-1451.030029296875
65375.85080284025	-1512.5799560546875
65681.34543276006	-1569.06005859375
65986.84006267988	-1638.3800048828125
66292.33469259969	-1676.8599853515625
66597.82932251951	-1693.449951171875
66903.32395243933	-1697.5799560546875
67208.81858235913	-1706.97998046875
67514.31321227895	-1721.1199951171875
67819.80784219876	-1738.77001953125
68125.30247211858	-1755.4000244140625
68430.7971020384	-1764.52001953125
68736.2917319582	-1779.8199462890625
69041.78636187802	-1763.469970703125
69347.28099179783	-1774.1400146484375
69652.77562171765	-1781.7900390625
69958.27025163747	-1782.260009765625
70263.76488155728	-1775.6300048828125
70569.2595114771	-1777.719970703125
70874.7541413969	-1778.8699951171875
71180.24877131672	-1780.68994140625
71485.74340123654	-1783.719970703125
71791.23803115635	-1780.6099853515625
72096.73266107617	-1783.2099609375
72402.22729099597	-1785.1800537109375
72707.72192091579	-1784.5899658203125
73013.21655083561	-1783.4100341796875
73318.71118075542	-1782.9100341796875
73624.20581067524	-1784.0799560546875
73929.70044059506	-1775.949951171875
74235.19507051486	-1778.1199951171875
74540.68970043468	-1769.1800537109375
74846.18433035449	-1772.6099853515625
75151.67896027431	-1768.0400390625
75457.17359019413	-1771.449951171875
75762.66822011393	-1770.52001953125
76068.16285003375	-1769.52001953125
76373.65747995356	-1761.31005859375
76679.15210987338	-1762.9100341796875
76984.6467397932	-1759.949951171875
77290.141369713	-1758.4100341796875
77595.63599963282	-1752.1199951171875
77901.13062955263	-1742.030029296875
78206.62525947245	-1727.2099609375
78512.11988939227	-1723.5999755859375
78817.61451931208	-1728.3399658203125
79123.1091492319	-1762.9200439453125
79428.6037791517	-1791.4100341796875
79734.09840907152	-1788.7099609375
80039.59303899134	-1794.6600341796875
80345.08766891115	-1793.22998046875
80650.58229883097	-1789.5699462890625
80956.07692875077	-1781.800048828125
81261.57155867059	-1754.3800048828125
81567.06618859041	-1738.0
81872.56081851022	-1747.219970703125
82178.05544843004	-1759.5400390625
82483.55007834984	-1772.5400390625
82789.04470826966	-1766.1199951171875
83094.53933818948	-1759.9200439453125
83400.03396810929	-1788.8499755859375
84011.02322794893	-1705.52001953125
84316.51785786873	-1673.550048828125
84622.01248778855	-1650.0899658203125
84927.50711770836	-1640.3599853515625
85233.00174762818	-1625.739990234375
85538.496377548	-1593.1300048828125
85843.9910074678	-1560.97998046875
